tt2488496	nm1727304,nm1209966,nm3915784,nm5397459,nm0009190,nm0001410,nm1578335,nm0000184,nm0005086,nm1333357
tt3748528	nm0006904,nm2284484,nm0876138,nm0919363,nm0428065,nm0461306,nm0947447,nm0000184,nm0526019,nm1729428
tt1772341	nm1442113,nm0000604,nm0505946,nm0714114,nm1601644,nm1601882,nm0528331,nm0601781,nm0798971,nm2972864
tt1323594	nm0202425,nm0000267,nm2805697,nm1853544,nm0136797,nm0781981,nm0666791,nm0655053,nm0719208,nm1258970
tt0878804	nm2466842,nm0005210,nm0626696,nm0424663,nm2052567,nm1034122,nm0000113,nm0467255,nm0001980,nm0359387
tt2771200	nm1812656,nm0207305,nm0154716,nm1265802,nm0174374,nm1405398,nm3343855,nm0818746,nm0914612,nm0941314
tt3183660	nm0837223,nm0283945,nm0946734,nm0460141,nm0006133,nm0382268,nm0746830,nm2239702,nm0927880,nm1519666
tt3640424	nm0182839,nm0121281,nm1081121,nm0823330,nm0006293,nm0000709,nm0364813,nm0000093,nm1140275,nm0454752
tt0091217	nm0000432,nm0002320,nm0000770,nm0941125,nm0000025,nm0641839,nm0686233,nm0214925,nm0000454,nm0001347
tt0100405	nm0006133,nm0493369,nm0586969,nm0004517,nm0720715,nm0000152,nm0000624,nm0005190,nm0000210,nm0591665
tt0075148	nm0949350,nm0153590,nm0000230,nm0175722,nm0185583,nm0005563,nm0000814,nm0006015,nm0001835,nm0001735
tt0108160	nm0001854,nm0287811,nm0033578,nm0539678,nm0000212,nm0003299,nm0005815,nm0911486,nm0000158,nm0001188
tt6501412	nm6087981
tt0857497	nm1073536,nm0471121,nm0251550,nm0028712,nm0431918,nm0003249
tt0063176	nm0859555,nm0759141,nm0397560,nm0790335,nm0926121,nm0798981,nm0437307,nm0765430,nm0298989,nm0501092
tt0131272	nm0014959,nm0494440,nm0000465,nm0273077,nm0410010,nm0227110,nm0001000,nm0247529,nm0039106,nm0234809
